impl,phase,n,gamma,threads,trial,ms,seed,offset,seed_index,key_mode,fastrange_mode
bbhash-cpp,space_bits,512,1.150000,1,0,7680.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,512,1.150000,1,0,15.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,512,1.150000,1,0,6272.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,512,1.150000,1,0,12.250000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,1024,1.150000,1,0,9152.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,1024,1.150000,1,0,8.937500,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,1024,1.150000,1,0,10816.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,1024,1.150000,1,0,10.562500,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,2048,1.150000,1,0,12224.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,2048,1.150000,1,0,5.968750,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,2048,1.150000,1,0,13696.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,2048,1.150000,1,0,6.687500,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,4096,1.150000,1,0,18368.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,4096,1.150000,1,0,4.484375,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,4096,1.150000,1,0,20032.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,4096,1.150000,1,0,4.890625,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,8192,1.150000,1,0,30976.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,8192,1.150000,1,0,3.781250,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,8192,1.150000,1,0,38336.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,8192,1.150000,1,0,4.679688,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,16384,1.150000,1,0,56192.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,16384,1.150000,1,0,3.429688,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,16384,1.150000,1,0,63104.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,16384,1.150000,1,0,3.851562,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,32768,1.150000,1,0,106624.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,32768,1.150000,1,0,3.253906,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,32768,1.150000,1,0,113792.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,32768,1.150000,1,0,3.472656,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,65536,1.150000,1,0,207744.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,65536,1.150000,1,0,3.169922,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,65536,1.150000,1,0,214592.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,65536,1.150000,1,0,3.274414,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,131072,1.150000,1,0,410048.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,131072,1.150000,1,0,3.128418,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,131072,1.150000,1,0,415040.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,131072,1.150000,1,0,3.166504,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,262144,1.150000,1,0,983936.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,262144,1.150000,1,0,3.753418,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,262144,1.150000,1,0,819968.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,262144,1.150000,1,0,3.127930,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,524288,1.150000,1,0,1623552.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,524288,1.150000,1,0,3.096680,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,524288,1.150000,1,0,1628096.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,524288,1.150000,1,0,3.105347,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,1048576,1.150000,1,0,3241856.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,1048576,1.150000,1,0,3.091675,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,1048576,1.150000,1,0,3258496.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,1048576,1.150000,1,0,3.107544,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,2097152,1.150000,1,0,6478528.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,2097152,1.150000,1,0,3.089203,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,2097152,1.150000,1,0,6492160.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,2097152,1.150000,1,0,3.095703,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,512,1.250000,1,0,7616.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,512,1.250000,1,0,14.875000,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,512,1.250000,1,0,6272.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,512,1.250000,1,0,12.250000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,1024,1.250000,1,0,9088.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,1024,1.250000,1,0,8.875000,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,1024,1.250000,1,0,10816.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,1024,1.250000,1,0,10.562500,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,2048,1.250000,1,0,12352.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,2048,1.250000,1,0,6.031250,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,2048,1.250000,1,0,13696.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,2048,1.250000,1,0,6.687500,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,4096,1.250000,1,0,18816.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,4096,1.250000,1,0,4.593750,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,4096,1.250000,1,0,20032.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,4096,1.250000,1,0,4.890625,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,8192,1.250000,1,0,31488.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,8192,1.250000,1,0,3.843750,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,8192,1.250000,1,0,32704.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,8192,1.250000,1,0,3.992188,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,16384,1.250000,1,0,57024.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,16384,1.250000,1,0,3.480469,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,16384,1.250000,1,0,64256.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,16384,1.250000,1,0,3.921875,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,32768,1.250000,1,0,108160.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,32768,1.250000,1,0,3.300781,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,32768,1.250000,1,0,114944.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,32768,1.250000,1,0,3.507812,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,65536,1.250000,1,0,210496.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,65536,1.250000,1,0,3.211914,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,65536,1.250000,1,0,216896.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,65536,1.250000,1,0,3.309570,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,131072,1.250000,1,0,415744.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,131072,1.250000,1,0,3.171875,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,131072,1.250000,1,0,420800.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,131072,1.250000,1,0,3.210449,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,262144,1.250000,1,0,882576.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,262144,1.250000,1,0,3.366760,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,262144,1.250000,1,0,832064.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,262144,1.250000,1,0,3.174072,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,524288,1.250000,1,0,1646080.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,524288,1.250000,1,0,3.139648,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,524288,1.250000,1,0,1648832.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,524288,1.250000,1,0,3.144897,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,1048576,1.250000,1,0,3286976.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,1048576,1.250000,1,0,3.134705,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,1048576,1.250000,1,0,3292160.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,1048576,1.250000,1,0,3.139648,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,2097152,1.250000,1,0,6568576.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,2097152,1.250000,1,0,3.132141,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,2097152,1.250000,1,0,6577984.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,2097152,1.250000,1,0,3.136627,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,512,1.350000,1,0,7616.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,512,1.350000,1,0,14.875000,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,512,1.350000,1,0,6272.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,512,1.350000,1,0,12.250000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,1024,1.350000,1,0,9216.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,1024,1.350000,1,0,9.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,1024,1.350000,1,0,10816.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,1024,1.350000,1,0,10.562500,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,2048,1.350000,1,0,12416.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,2048,1.350000,1,0,6.062500,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,2048,1.350000,1,0,13696.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,2048,1.350000,1,0,6.687500,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,4096,1.350000,1,0,18880.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,4096,1.350000,1,0,4.609375,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,4096,1.350000,1,0,20032.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,4096,1.350000,1,0,4.890625,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,8192,1.350000,1,0,31808.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,8192,1.350000,1,0,3.882812,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,8192,1.350000,1,0,33856.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,8192,1.350000,1,0,4.132812,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,16384,1.350000,1,0,57920.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,16384,1.350000,1,0,3.535156,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,16384,1.350000,1,0,59200.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,16384,1.350000,1,0,3.613281,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,32768,1.350000,1,0,110144.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,32768,1.350000,1,0,3.361328,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,32768,1.350000,1,0,116672.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,32768,1.350000,1,0,3.560547,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,65536,1.350000,1,0,214464.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,65536,1.350000,1,0,3.272461,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,65536,1.350000,1,0,220928.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,65536,1.350000,1,0,3.371094,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,131072,1.350000,1,0,423168.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,131072,1.350000,1,0,3.228516,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,131072,1.350000,1,0,429440.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,131072,1.350000,1,0,3.276367,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,262144,1.350000,1,0,840768.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,262144,1.350000,1,0,3.207275,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,262144,1.350000,1,0,846464.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,262144,1.350000,1,0,3.229004,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,524288,1.350000,1,0,1675520.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,524288,1.350000,1,0,3.195801,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,524288,1.350000,1,0,1679936.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,524288,1.350000,1,0,3.204224,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,1048576,1.350000,1,0,3345728.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,1048576,1.350000,1,0,3.190735,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,1048576,1.350000,1,0,3348608.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,1048576,1.350000,1,0,3.193481,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,2097152,1.350000,1,0,6685952.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,2097152,1.350000,1,0,3.188110,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,2097152,1.350000,1,0,6684800.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
